file,energy,count_time,rotation,mean,std,min,max,x_min,x_max,y_min,y_max
Sample_Image_2015-11-27_159.hdf5,779.5,0.005,36.783,93599.99786666667,13369.081101613026,75293.0,113008.0,240.37382993322808,241.85382993322807,-1122.207478247343,-1120.727478247343
Sample_Image_2015-11-27_160.hdf5,779.5,0.005,36.783,92534.43253333334,13940.05888202228,73224.0,112266.0,240.37382993322808,241.85382993322807,-1122.207478247343,-1120.727478247343
Sample_Image_2015-11-27_161.hdf5,779.5,0.005,36.783,93503.82115555556,13282.563154090954,75305.0,112768.0,240.37382993322808,241.85382993322807,-1122.207478247343,-1120.727478247343
Sample_Image_2015-11-27_162.hdf5,779.5,0.005,36.783,92501.44106666667,13901.262659841539,73399.0,112271.0,240.37382993322808,241.85382993322807,-1122.207478247343,-1120.727478247343
Sample_Image_2015-11-27_163.hdf5,779.5,0.005,36.783,93433.3008,13224.325730565513,75216.0,112445.0,240.37382993322808,241.85382993322807,-1122.207478247343,-1120.727478247343
Sample_Image_2015-11-27_164.hdf5,779.5,0.005,36.783,92250.87946666667,13803.87646753881,73117.0,112025.0,240.37382993322808,241.85382993322807,-1122.207478247343,-1120.727478247343
Sample_Image_2015-11-27_165.hdf5,779.5,0.005,36.783,93275.93262222222,13178.624466946221,75164.0,112337.0,240.37382993322808,241.85382993322807,-1122.207478247343,-1120.727478247343
Sample_Image_2015-11-27_166.hdf5,779.5,0.005,36.783,92038.24284444444,13759.014433271816,73220.0,111982.0,240.37382993322808,241.85382993322807,-1122.207478247343,-1120.727478247343
Sample_Image_2015-11-27_167.hdf5,779.5,0.005,36.783,93109.75662222222,13132.686119645243,75162.0,112534.0,240.37382993322808,241.85382993322807,-1122.207478247343,-1120.727478247343
Sample_Image_2015-11-27_168.hdf5,779.5,0.005,36.783,91865.93297777777,13693.400266020984,73022.0,111493.0,240.37382993322808,241.85382993322807,-1122.207478247343,-1120.727478247343
Sample_Image_2015-11-27_169.hdf5,779.5,0.005,36.783,93186.16177777777,13162.97706245839,75165.0,112617.0,240.37382993322808,241.85382993322807,-1122.207478247343,-1120.727478247343
Sample_Image_2015-11-27_170.hdf5,779.5,0.005,36.783,92058.84711111111,13748.70879343473,73229.0,111948.0,240.37382993322808,241.85382993322807,-1122.207478247343,-1120.727478247343
Sample_Image_2015-11-27_171.hdf5,779.5,0.005,36.783,92925.99288888888,13116.939544957992,74915.0,112358.0,240.37382993322808,241.85382993322807,-1122.207478247343,-1120.727478247343
Sample_Image_2015-11-27_172.hdf5,779.5,0.005,36.783,91820.13866666667,13651.394470067657,73208.0,111596.0,240.37382993322808,241.85382993322807,-1122.207478247343,-1120.727478247343
Sample_Image_2015-11-28_001.hdf5,779.5,0.005,36.783,92594.13564444444,12985.718371123483,74640.0,111682.0,240.37382993322808,241.85382993322807,-1122.207478247343,-1120.727478247343
Sample_Image_2015-11-28_002.hdf5,779.5,0.005,36.783,91471.95715555556,13555.538435554998,72774.0,111574.0,240.37382993322808,241.85382993322807,-1122.207478247343,-1120.727478247343
Sample_Image_2015-11-28_003.hdf5,779.5,0.005,36.783,92182.94026666667,12879.827452315101,74156.0,111362.0,240.37382993322808,241.85382993322807,-1122.207478247343,-1120.727478247343
Sample_Image_2015-11-28_004.hdf5,779.5,0.005,36.783,91148.17315555556,13429.923501417581,72908.0,111252.0,240.37382993322808,241.85382993322807,-1122.207478247343,-1120.727478247343
Sample_Image_2015-11-28_005.hdf5,779.5,0.005,36.783,92118.1815111111,12922.103738954356,73680.0,111733.0,240.37382993322808,241.85382993322807,-1122.207478247343,-1120.727478247343
Sample_Image_2015-11-28_006.hdf5,779.5,0.005,36.783,91136.97671111111,13363.376602241078,72975.0,111159.0,240.37382993322808,241.85382993322807,-1122.207478247343,-1120.727478247343
Sample_Image_2015-11-28_007.hdf5,779.5,0.005,36.783,91932.92888888888,12890.08559502349,73563.0,111829.0,240.37382993322808,241.85382993322807,-1122.207478247343,-1120.727478247343
Sample_Image_2015-11-28_008.hdf5,779.5,0.005,36.783,91100.29404444444,13346.52095605876,72924.0,110752.0,240.37382993322808,241.85382993322807,-1122.207478247343,-1120.727478247343
Sample_Image_2015-11-28_009.hdf5,779.5,0.005,36.783,91947.31004444444,12911.04797472843,73315.0,111490.0,240.37382993322808,241.85382993322807,-1122.207478247343,-1120.727478247343
Sample_Image_2015-11-28_010.hdf5,779.5,0.005,36.783,91118.74702222222,13339.576956004183,72894.0,111076.0,240.37382993322808,241.85382993322807,-1122.207478247343,-1120.727478247343
Sample_Image_2015-11-28_011.hdf5,779.5,0.005,36.783,91861.56462222223,12892.322296869455,73207.0,111291.0,240.37382993322808,241.85382993322807,-1122.207478247343,-1120.727478247343
Sample_Image_2015-11-28_012.hdf5,779.5,0.005,36.783,91157.06542222222,13364.377958670908,72944.0,111293.0,240.37382993322808,241.85382993322807,-1122.207478247343,-1120.727478247343
Sample_Image_2015-11-28_013.hdf5,779.5,0.005,36.783,92150.42257777778,13014.364360253176,73641.0,111748.0,240.37382993322808,241.85382993322807,-1122.207478247343,-1120.727478247343
Sample_Image_2015-11-28_014.hdf5,779.5,0.005,36.783,91384.07537777777,13443.434873877466,72949.0,111883.0,240.37382993322808,241.85382993322807,-1122.207478247343,-1120.727478247343
Sample_Image_2015-11-28_015.hdf5,779.5,0.005,36.783,92210.3144888889,13033.195166562917,73454.0,112105.0,240.37382993322808,241.85382993322807,-1122.207478247343,-1120.727478247343
Sample_Image_2015-11-28_016.hdf5,779.5,0.005,36.783,91594.33617777778,13470.360417365975,73198.0,112279.0,240.37382993322808,241.85382993322807,-1122.207478247343,-1120.727478247343
Sample_Image_2015-11-28_017.hdf5,779.5,0.005,36.783,92401.34666666666,13068.530167417877,73537.0,112530.0,240.37382993322808,241.85382993322807,-1122.207478247343,-1120.727478247343
Sample_Image_2015-11-28_018.hdf5,779.5,0.005,36.783,91263.33671111111,13357.012650973647,73101.0,111848.0,240.37382993322808,241.85382993322807,-1122.207478247343,-1120.727478247343
Sample_Image_2015-11-28_019.hdf5,779.5,0.005,36.783,92000.09386666666,12937.931167721528,73379.0,112069.0,240.37382993322808,241.85382993322807,-1122.207478247343,-1120.727478247343
Sample_Image_2015-11-28_020.hdf5,779.5,0.005,36.783,91352.23751111112,13388.12001285176,73193.0,111711.0,240.37382993322808,241.85382993322807,-1122.207478247343,-1120.727478247343
Sample_Image_2015-11-28_021.hdf5,779.5,0.005,36.783,92030.46346666667,12967.37946734372,73389.0,112412.0,240.37382993322808,241.85382993322807,-1122.207478247343,-1120.727478247343
Sample_Image_2015-11-28_022.hdf5,779.5,0.005,36.783,91408.24337777778,13426.649860286177,73048.0,112429.0,240.37382993322808,241.85382993322807,-1122.207478247343,-1120.727478247343
Sample_Image_2015-11-28_023.hdf5,779.5,0.005,36.783,92084.85795555556,12937.632199780652,73659.0,112448.0,240.37382993322808,241.85382993322807,-1122.207478247343,-1120.727478247343
Sample_Image_2015-11-28_024.hdf5,779.5,0.005,36.783,91347.91964444444,13438.914031983912,72816.0,112399.0,240.37382993322808,241.85382993322807,-1122.207478247343,-1120.727478247343
Sample_Image_2015-11-28_025.hdf5,779.5,0.005,36.783,92160.54382222223,12976.30374288592,73737.0,112867.0,240.37382993322808,241.85382993322807,-1122.207478247343,-1120.727478247343
Sample_Image_2015-11-28_026.hdf5,779.5,0.005,36.783,91516.18933333333,13440.233956319262,73266.0,112531.0,240.37382993322808,241.85382993322807,-1122.207478247343,-1120.727478247343
Sample_Image_2015-11-28_027.hdf5,779.5,0.005,36.783,92203.61031111112,12946.74409307299,73829.0,113398.0,240.37382993322808,241.85382993322807,-1122.207478247343,-1120.727478247343
Sample_Image_2015-11-28_028.hdf5,779.5,0.005,36.783,91401.12942222222,13446.146456146414,73079.0,113437.0,240.37382993322808,241.85382993322807,-1122.207478247343,-1120.727478247343
Sample_Image_2015-11-28_029.hdf5,779.5,0.005,36.783,92200.4263111111,12961.88645186567,73766.0,113054.0,240.37382993322808,241.85382993322807,-1122.207478247343,-1120.727478247343
Sample_Image_2015-11-28_030.hdf5,779.5,0.005,36.783,91463.40551111111,13452.90624063418,73101.0,113304.0,240.37382993322808,241.85382993322807,-1122.207478247343,-1120.727478247343
Sample_Image_2015-11-28_031.hdf5,779.5,0.005,36.783,92390.65084444445,13025.786191562973,73683.0,113775.0,240.37382993322808,241.85382993322807,-1122.207478247343,-1120.727478247343
Sample_Image_2015-11-28_032.hdf5,779.5,0.005,36.783,91542.3448888889,13462.89755451488,73084.0,113068.0,240.37382993322808,241.85382993322807,-1122.207478247343,-1120.727478247343
Sample_Image_2015-11-28_033.hdf5,779.5,0.005,36.783,92341.87555555555,13000.707712092797,73962.0,113584.0,240.37382993322808,241.85382993322807,-1122.207478247343,-1120.727478247343
Sample_Image_2015-11-28_034.hdf5,779.5,0.005,36.783,91461.09475555556,13503.626849916172,73140.0,113295.0,240.37382993322808,241.85382993322807,-1122.207478247343,-1120.727478247343
Sample_Image_2015-11-28_035.hdf5,779.5,0.005,36.783,92436.66222222222,12993.84960023932,74190.0,114022.0,240.37382993322808,241.85382993322807,-1122.207478247343,-1120.727478247343
Sample_Image_2015-11-28_036.hdf5,779.5,0.005,36.783,91481.33777777778,13542.000467682246,72952.0,113913.0,240.37382993322808,241.85382993322807,-1122.207478247343,-1120.727478247343
Sample_Image_2015-11-28_037.hdf5,779.5,0.005,36.783,92497.3368888889,12979.971068761428,74474.0,113840.0,240.37382993322808,241.85382993322807,-1122.207478247343,-1120.727478247343
Sample_Image_2015-11-28_038.hdf5,779.5,0.005,36.783,91569.50542222222,13572.293480037988,73171.0,113940.0,240.37382993322808,241.85382993322807,-1122.207478247343,-1120.727478247343
Sample_Image_2015-11-28_039.hdf5,779.5,0.005,36.783,92450.44515555556,12974.198631775678,74536.0,114435.0,240.37382993322808,241.85382993322807,-1122.207478247343,-1120.727478247343
Sample_Image_2015-11-28_040.hdf5,779.5,0.005,36.783,91462.57617777778,13541.579779112317,73037.0,114306.0,240.37382993322808,241.85382993322807,-1122.207478247343,-1120.727478247343
Sample_Image_2015-11-28_041.hdf5,779.5,0.005,36.783,92452.57475555556,12991.451659055163,74562.0,114425.0,240.37382993322808,241.85382993322807,-1122.207478247343,-1120.727478247343
Sample_Image_2015-11-28_042.hdf5,779.5,0.005,36.783,91341.33102222222,13484.01603690425,73117.0,113862.0,240.37382993322808,241.85382993322807,-1122.207478247343,-1120.727478247343
Sample_Image_2015-11-28_043.hdf5,779.5,0.005,36.783,92280.2688,12971.56822851903,74583.0,114469.0,240.37382993322808,241.85382993322807,-1122.207478247343,-1120.727478247343
Sample_Image_2015-11-28_044.hdf5,779.5,0.005,36.783,91265.71342222222,13498.143223250534,73024.0,114027.0,240.37382993322808,241.85382993322807,-1122.207478247343,-1120.727478247343
Sample_Image_2015-11-28_045.hdf5,779.5,0.005,36.783,92131.79591111111,12932.595254140384,74259.0,114398.0,240.37382993322808,241.85382993322807,-1122.207478247343,-1120.727478247343
Sample_Image_2015-11-28_046.hdf5,779.5,0.005,36.783,91333.7552,13542.590198451111,73039.0,114576.0,240.37382993322808,241.85382993322807,-1122.207478247343,-1120.727478247343
Sample_Image_2015-11-28_047.hdf5,779.5,0.005,36.783,92154.70844444445,12948.459079259665,74756.0,114716.0,240.37382993322808,241.85382993322807,-1122.207478247343,-1120.727478247343
Sample_Image_2015-11-28_048.hdf5,779.5,0.005,36.783,91263.64373333333,13612.097258946897,57697.0,114338.0,240.37382993322808,241.85382993322807,-1122.207478247343,-1120.727478247343
Sample_Image_2015-11-28_049.hdf5,779.5,0.005,36.783,92091.81493333333,12976.288580448712,74367.0,115181.0,240.37382993322808,241.85382993322807,-1122.207478247343,-1120.727478247343
Sample_Image_2015-11-28_050.hdf5,779.5,0.005,36.783,91121.36906666667,13595.065145512292,72960.0,114855.0,240.37382993322808,241.85382993322807,-1122.207478247343,-1120.727478247343
Sample_Image_2015-11-28_051.hdf5,779.5,0.005,36.783,91974.67555555556,13034.573359001062,74476.0,115143.0,240.37382993322808,241.85382993322807,-1122.207478247343,-1120.727478247343
Sample_Image_2015-11-28_052.hdf5,779.5,0.005,36.783,91160.59822222222,13640.210484749256,72887.0,114810.0,240.37382993322808,241.85382993322807,-1122.207478247343,-1120.727478247343
Sample_Image_2015-11-28_053.hdf5,779.5,0.005,36.783,91857.42435555556,13060.1311174229,74400.0,115257.0,240.37382993322808,241.85382993322807,-1122.207478247343,-1120.727478247343
Sample_Image_2015-11-28_054.hdf5,779.5,0.005,36.783,91076.016,13642.061287953422,72830.0,114632.0,240.37382993322808,241.85382993322807,-1122.207478247343,-1120.727478247343
Sample_Image_2015-11-28_055.hdf5,779.5,0.005,36.783,91774.90364444445,13119.870185738375,74130.0,115682.0,240.37382993322808,241.85382993322807,-1122.207478247343,-1120.727478247343
Sample_Image_2015-11-28_056.hdf5,779.5,0.005,36.783,91108.51111111112,13726.69058947927,72926.0,115177.0,240.37382993322808,241.85382993322807,-1122.207478247343,-1120.727478247343
Sample_Image_2015-11-28_069.hdf5,779.5,0.005,36.783,96786.96,15602.361186937202,75598.0,119540.0,236.32399999999998,237.80399999999997,-1124.207,-1122.727
Sample_Image_2015-11-28_070.hdf5,779.5,0.005,36.783,98345.25368888889,14941.392464949242,78421.0,120403.0,236.32399999999998,237.80399999999997,-1124.207,-1122.727
